"","State","Agency","Abbr"
"683","Alabama","Alabama Commission on Higher Education",""
"684","Alabama","Alabama Community College System",""
"685","Alabama","Alabama Coosa Valley Development Authority",""
"686","Alabama","Alabama Court of Civil Appeals",""
"687","Alabama","Alabama Court of Criminal Appeals",""
"688","Alabama","Alabama Credit Union Administration",""
"689","Alabama","Alabama Crime Victim's Compensation Commission",""
"690","Alabama","Alabama Criminal Justice Information Center",""
"691","Alabama","Alabama Customer and Telephone : Office of Information Technology Services",""
"692","Alabama","Alabama Department of : Alabama Department of Finance Finance",""
"693","Alabama","Alabama Department of Agriculture and Industries",""
"694","Alabama","Alabama Department of Archives and History",""
"695","Alabama","Alabama Department of Banking",""
"696","Alabama","Alabama Department of Child Abuse & Neglect Prevention",""
"697","Alabama","Alabama Department of Commerce",""
"698","Alabama","Alabama Department of Conservation & Nat Resources",""
"699","Alabama","Alabama Department of Corrections",""
"700","Alabama","Alabama Department of Early Childhood Education",""
"701","Alabama","Alabama Department of Economic & Community Affairs",""
"702","Alabama","Alabama Department of Environmental Management",""
"703","Alabama","Alabama Department of Examiners of Public Accounts",""
"704","Alabama","Alabama Department of Finance",""
"705","Alabama","Alabama Department of Forensic Sciences",""
"706","Alabama","Alabama Department of Human Resources",""
"707","Alabama","Alabama Department of Insurance",""
"708","Alabama","Alabama Department of Labor",""
"709","Alabama","Alabama Department of Mental Health",""
"710","Alabama","Alabama Department of Personnel",""
"711","Alabama","Alabama Department of Postsecondary Education",""
"712","Alabama","Alabama Department of Public Health",""
"713","Alabama","Alabama Department of Public Safety",""
"714","Alabama","Alabama Department of Rehabilitation Services",""
"715","Alabama","Alabama Department of Revenue",""
"716","Alabama","Alabama Department of Senior Services",""
"717","Alabama","Alabama Department of Tourism",""
"718","Alabama","Alabama Department of Transportation",""
"719","Alabama","Alabama Department of Veterans Affairs",""
"720","Alabama","Alabama Department of Youth Services",""
"721","Alabama","Alabama District Attorney's Office",""
"722","Alabama","Alabama Division of : Alabama Department of Finance Risk Management",""
"723","Alabama","Alabama Division of Construction Management",""
"724","Alabama","Alabama Drycleaning Environmental Response Trust Advisory Board",""
"725","Alabama","Alabama Educational Television Commission",""
"726","Alabama","Alabama Electrical Contractors Board",""
"727","Alabama","Alabama Electronic Security Board of Licensure",""
"728","Alabama","Alabama Emergency Management Agency",""
"729","Alabama","Alabama Forever Wild Land Trust",""
"730","Alabama","Alabama Gorgas Memorial Board",""
"731","Alabama","Alabama Governor's Commission on Physical Fitness & Sports",""
"732","Alabama","Alabama Governor's Mansion Authority",""
"733","Alabama","Alabama Governor's Office of Faith-Based and Volunteer Service",""
"734","Alabama","Alabama Governor's Office on Disability",""
"735","Alabama","Alabama Gulf State Park Authority",""
"736","Alabama","Alabama Historic Chattahoochee Commission",""
"737","Alabama","Alabama Historic Ironworks Commission",""
"738","Alabama","Alabama Historical Commission",""
"739","Alabama","Alabama Home Builders Licensure Board",""
"740","Alabama","Alabama Housing Finance Authority",""
"741","Alabama","Alabama Indian Affairs Commission",""
"742","Alabama","Alabama Industrial Development Training",""
"743","Alabama","Alabama Institute for Deaf and Blind",""
"744","Alabama","Alabama International Motor Sports Hall of Fame",""
"745","Alabama","Alabama Jacksonville State University",""
"746","Alabama","Alabama Judicial Inquiry Commission",""
"747","Alabama","Alabama Law Enforcement Agency",""
"748","Alabama","Alabama Legislative Building Authority",""
"749","Alabama","Alabama Legislative Council",""
"750","Alabama","Alabama Legislative Services Agency",""
"751","Alabama","Alabama Legislature",""
"752","Alabama","Alabama Licensing Board for General Contractors",""
"753","Alabama","Alabama Licensure Board for Interpreters and Transliterators",""
"754","Alabama","Alabama Liquefied Petroleum Gas Board",""
"755","Alabama","Alabama Manufactured Housing Commission",""
"756","Alabama","Alabama Marine Environmental Sciences Consortium",""
"757","Alabama","Alabama Medicaid Agency",""
"758","Alabama","Alabama Men's Hall of Fame",""
"759","Alabama","Alabama Mental Health Finance Authority",""
"760","Alabama","Alabama Military Department",""
"761","Alabama","Alabama Music Hall of Fame Board",""
"762","Alabama","Alabama Office of Information Technology",""
"763","Alabama","Alabama Office of Prosecution Services",""
"764","Alabama","Alabama Office of the Attorney General",""
"765","Alabama","Alabama Office of the Finance Director",""
"766","Alabama","Alabama Office of the Governor",""
"767","Alabama","Alabama Office of the Lieutenant Governor",""
"768","Alabama","Alabama Onsite Wastewater Board",""
"769","Alabama","Alabama Optometric Scholarships Awards Board",""
"770","Alabama","Alabama Pea and Yellow Rivers Watershed Management Authority Choctawhatchee",""
"771","Alabama","Alabama Peace Officers Annuity & Benefit Fund",""
"772","Alabama","Alabama Peace Officers Standards & Training Commission",""
"773","Alabama","Alabama Pilotage Commsssion",""
"774","Alabama","Alabama Plumbers and Gas Fitters Examining Board",""
"775","Alabama","Alabama Polygraph Examiners Board",""
"776","Alabama","Alabama President Pro Tempore Senate",""
"777","Alabama","Alabama Public Library Service",""
"778","Alabama","Alabama Public School and College Authority",""
"779","Alabama","Alabama Public Service Commission",""
"780","Alabama","Alabama Real Estate Commission",""
"781","Alabama","Alabama Red Mountain Greenway and Recreational Area Commission",""
"782","Alabama","Alabama School of Fine Arts",""
"783","Alabama","Alabama School of Mathematics & Science",""
"784","Alabama","Alabama Secretary of State",""
"785","Alabama","Alabama Securities Commission",""
"786","Alabama","Alabama Security Regulatory Board",""
"787","Alabama","Alabama Shelton State Community College",""
"788","Alabama","Alabama Space Science Exhibit Commission",""
"789","Alabama","Alabama St. Stephens Historical Commssion",""
"790","Alabama","Alabama State : Alabama Legislature Senate",""
"791","Alabama","Alabama State Bar",""
"792","Alabama","Alabama State Board of Auctioneers",""
"793","Alabama","Alabama State Board of Chiropractic Examiners",""
"794","Alabama","Alabama State Board of Occupational Therapy",""
"795","Alabama","Alabama State Board of Prosthetists & Orthotists",""
"796","Alabama","Alabama State Board of Public Accountancy",""
"797","Alabama","Alabama State Board of Respiratory Therapy",""
"798","Alabama","Alabama State Board of Social Work Examiners",""
"799","Alabama","Alabama State Council on the Arts",""
"800","Alabama","Alabama State Department of Education",""
"801","Alabama","Alabama State Employees Insurance Board",""
"802","Alabama","Alabama State Health Planning & Development Agency",""
"803","Alabama","Alabama State Office of Treasurer",""
"804","Alabama","Alabama State Oil and Gas Board",""
"805","Alabama","Alabama State Port Authority",""
"806","Alabama","Alabama State Treasurer",""
"807","Alabama","Alabama State University",""
"808","Alabama","Alabama Supercomputer Authority",""
"809","Alabama","Alabama Surface Mining Commission",""
"810","Alabama","Alabama Technology Network",""
"811","Alabama","Alabama Tennessee Valley Exhibit Commission",""
"812","Alabama","Alabama Troy University",""
"813","Alabama","Alabama Trust Fund",""
"814","Alabama","Alabama University of Montevallo",""
"815","Alabama","Alabama Women's Commission",""
"816","Alabama","Alabama Women's Hall of Fame",""
"817","Alabama","Central Accounting System : Alabama Department of Finance",""
"818","Alabama","Division of : Alabama Department of Finance Debt Management",""
"819","Alabama","Division of : Alabama Department of Finance Leasing Management",""
